index,x,y,source
84,-121.4963286,38.5771562,crossing_node
85,-121.496157,38.5772677,crossing_node
86,-121.496107,38.5773775,crossing_node
87,-121.4961663,38.5775332,crossing_node
88,-121.5082189,38.6273828,crossing_node
89,-121.4688795,38.5749753,crossing_node
90,-121.4306975,38.6011096,crossing_node
91,-121.4327134,38.6024867,crossing_node
92,-121.4211497,38.5956213,crossing_node
93,-121.4204561,38.5961793,crossing_node
94,-121.4092358,38.5696581,crossing_node
95,-121.4059772,38.6375965,crossing_node
96,-121.526787,38.6114424,crossing_node
97,-121.4854832,38.5744343,crossing_node
98,-121.4941979,38.5755431,crossing_node
99,-121.4939602,38.5754798,crossing_node
100,-121.4902829,38.5770011,crossing_node
101,-121.492633,38.5751302,crossing_node
102,-121.4916495,38.5773702,crossing_node
103,-121.4928539,38.5751889,crossing_node
104,-121.494966,38.5768934,crossing_node
105,-121.4889794,38.5766493,crossing_node
106,-121.4910324,38.5747045,crossing_node
107,-121.5092127,38.5754207,crossing_node
108,-121.4093761,38.5494175,crossing_node
109,-121.4088862,38.5494338,crossing_node
110,-121.4570254,38.6060469,crossing_node
111,-121.4579502,38.6063199,crossing_node
112,-121.448429,38.6064138,crossing_node
113,-121.4487028,38.6064143,crossing_node
114,-121.455431,38.6065169,crossing_node
115,-121.4086781,38.5447539,crossing_node
116,-121.4952745,38.5770893,crossing_node
117,-121.5048865,38.6127375,crossing_node
118,-121.4254012,38.4740884,crossing_node
119,-121.4257541,38.4740953,crossing_node
120,-121.4256461,38.4741282,crossing_node
121,-121.4193166,38.4745417,crossing_node
122,-121.5006444,38.584575,crossing_node
123,-121.4898151,38.548188,crossing_node
124,-121.495132,38.531561,crossing_node
125,-121.495042,38.5314426,crossing_node
126,-121.4927456,38.5380981,crossing_node
127,-121.494035,38.5337969,crossing_node
128,-121.4921709,38.5249184,crossing_node
129,-121.4920098,38.5249189,crossing_node
130,-121.4282565,38.4580106,crossing_node
131,-121.4452208,38.4792687,crossing_node
132,-121.4457595,38.4798214,crossing_node
133,-121.4450463,38.4792501,crossing_node
134,-121.447168,38.4810908,crossing_node
135,-121.4315141,38.5641637,crossing_node
136,-121.4926932,38.5382561,crossing_node
137,-121.484735,38.5398893,crossing_node
138,-121.4779601,38.5846304,crossing_node
139,-121.4778048,38.5846853,crossing_node
140,-121.479263,38.5849757,crossing_node
141,-121.4791379,38.5850383,crossing_node
142,-121.4793889,38.5851154,crossing_node
143,-121.4807451,38.5929635,crossing_node
144,-121.4809242,38.5930052,crossing_node
145,-121.4806869,38.5931449,crossing_node
146,-121.4801796,38.5897334,crossing_node
147,-121.4544885,38.5795573,crossing_node
148,-121.447172,38.6043173,crossing_node
149,-121.446303,38.604315,crossing_node
150,-121.446522,38.6043156,crossing_node
151,-121.446735,38.6043161,crossing_node
152,-121.446951,38.6043167,crossing_node
153,-121.4491762,38.6043281,crossing_node
154,-121.4492827,38.6044236,crossing_node
155,-121.4437463,38.6063997,crossing_node
156,-121.5343105,38.6420492,crossing_node
157,-121.5509163,38.6532252,crossing_node
158,-121.497775,38.6408306,crossing_node
159,-121.5255132,38.6577984,crossing_node
160,-121.4380275,38.6053203,crossing_node
161,-121.5151657,38.6432197,crossing_node
162,-121.5160855,38.5679738,crossing_node
163,-121.4200347,38.6203569,crossing_node
164,-121.5037997,38.6387235,crossing_node
165,-121.5425621,38.6578498,crossing_node
166,-121.504339,38.6362877,crossing_node
167,-121.517199,38.6426217,crossing_node
168,-121.4989198,38.6370771,crossing_node
169,-121.5307916,38.6536077,crossing_node
170,-121.4972152,38.6373104,crossing_node
171,-121.5248761,38.6487872,crossing_node
172,-121.5248108,38.6487201,crossing_node
173,-121.5106959,38.6475253,crossing_node
174,-121.5099875,38.6475524,crossing_node
175,-121.4996776,38.6375699,crossing_node
176,-121.5301226,38.6631061,crossing_node
177,-121.5208272,38.6141268,crossing_node
178,-121.5331536,38.6537968,crossing_node
179,-121.5049158,38.6526077,crossing_node
180,-121.5520607,38.6531474,crossing_node
181,-121.4636231,38.5973597,crossing_node
184,-121.459413,38.6061709,crossing_node
185,-121.4589396,38.6064352,crossing_node
186,-121.4558285,38.6075852,crossing_node
187,-121.4538014,38.6086352,crossing_node
188,-121.4538677,38.6087246,crossing_node
189,-121.4507253,38.6093218,crossing_node
190,-121.4509007,38.6093232,crossing_node
191,-121.4508524,38.6099688,crossing_node
192,-121.4502494,38.6102537,crossing_node
193,-121.4493098,38.610716,crossing_node
194,-121.4493743,38.6109935,crossing_node
195,-121.448885,38.6109919,crossing_node
196,-121.5077942,38.6405657,crossing_node
197,-121.4594569,38.6100058,crossing_node
198,-121.5328259,38.6277756,crossing_node
199,-121.519573,38.627782,crossing_node
